order	name	item_type	class	param_num	internal	registered	reached	reach_basis	eval_functions	eval_functions_run	probes	sql	constructor	files
344	st_buffer	T_FUN_SYS_ST_BUFFER	ObExprSTBuffer	MORE_THAN_ONE	0	release	1	eval functions set by ObExprSTBuffer::cg_expr	1	1	35	ST_Buffer(g, d [, strategies])	src/sql/engine/expr/ob_expr_st_buffer.cpp:167	s2_reached_0101
345	spatial_cellid	T_FUN_SYS_SPATIAL_CELLID	ObExprSpatialCellid	1	0	release	1	eval functions set by ObExprSpatialCellid::cg_expr	1	1	19	spatial_cellid(G)	src/sql/engine/expr/ob_expr_spatial_cellid.cpp:27	s2_reached_0101,s2_reached_0102
346	spatial_mbr	T_FUN_SYS_SPATIAL_MBR	ObExprSpatialMbr	1	0	release	1	eval functions set by ObExprSpatialMbr::cg_expr	1	1	19	spatial_mbr(G)	src/sql/engine/expr/ob_expr_spatial_mbr.cpp:28	s2_reached_0102
347	_st_geomfromewkb	T_FUN_SYS_ST_GEOMFROMEWKB	ObExprPrivSTGeomFromEWKB	ONE_OR_TWO	0	release	1	eval functions set by ObExprPrivSTGeomFromEWKB::cg_expr	1	1	22	_st_geomfromewkb(WKB, SRID?)	src/sql/engine/expr/ob_expr_st_geomfromewkb.cpp:30	s2_reached_0102
348	st_geomfromwkb	T_FUN_SYS_ST_GEOMFROMWKB	ObExprSTGeomFromWKB	MORE_THAN_ZERO	0	release	1	eval functions set by ObExprSTGeomFromWKB::cg_expr	1	1	22	ST_GeomFromWKB(wkb [, srid])	src/sql/engine/expr/ob_expr_st_geomfromwkb.cpp:38	s2_reached_0103
349	st_geometryfromwkb	T_FUN_SYS_ST_GEOMETRYFROMWKB	ObExprSTGeometryFromWKB	MORE_THAN_ZERO	0	release	1	eval functions set by ObExprSTGeometryFromWKB::cg_expr	1	1	22	st_geometryfromwkb(WKB, SRID?)	src/sql/engine/expr/ob_expr_st_geomfromwkb.cpp:43	s2_reached_0103
350	_st_geomfromewkt	T_FUN_SYS_ST_GEOMFROMEWKT	ObExprPrivSTGeomFromEwkt	1	0	release	1	eval functions set by ObExprPrivSTGeomFromEwkt::cg_expr	1	1	19	_st_geomfromewkt(S)	src/sql/engine/expr/ob_expr_st_geomfromewkt.cpp:30	s2_reached_0104
351	_st_asewkt	T_FUN_SYS_PRIV_ST_ASEWKT	ObExprPrivSTAsEwkt	MORE_THAN_ZERO	0	release	1	eval functions set by ObExprPrivSTAsEwkt::cg_expr	1	1	19	_st_asewkt(G)	src/sql/engine/expr/ob_expr_st_asewkt.cpp:29	s2_reached_0104
352	st_srid	T_FUN_SYS_ST_SRID	ObExprSTSRID	ONE_OR_TWO	0	release	1	eval functions set by ObExprSTSRID::cg_expr	1	1	26	st_srid(G, SRID?)	src/sql/engine/expr/ob_expr_st_srid.cpp:29	s2_reached_0104,s2_reached_0105
353	st_distance	T_FUN_SYS_ST_DISTANCE	ObExprSTDistance	TWO_OR_THREE	0	release	1	eval functions set by ObExprSTDistance::cg_expr	1	1	40	st_distance(G, G2, S?)	src/sql/engine/expr/ob_expr_st_distance.cpp:31	s2_reached_0105,s2_reached_0106
354	_st_geogfromtext	T_FUN_SYS_PRIV_ST_GEOGFROMTEXT	ObExprPrivSTGeogFromText	1	0	release	1	eval functions set by ObExprPrivSTGeogFromText::cg_expr	1	1	19	_st_geogfromtext(WKT)	src/sql/engine/expr/ob_expr_priv_st_geogfromtext.cpp:29	s2_reached_0106
